name,url
Ondo,https://app.ondoperps.xyz/?ref=44CXB4
AI,https://truenorth.xyz/ref/XS5PK5
Entropy,https://entropy.io/?r=aero
Treadfi,https://app.tread.fi/referral/RNFLFMXA
Hyperliquid,https://app.hyperliquid.xyz/join/AEROGR
Airdrops,https://ansem.io/airdrop
Bullpen,https://bullpen.fi/@onyx-lynx
Perpl,https://app.perpl.xyz/trade?ref=Cp2292eXTDM
Nado,https://app.nado.xyz?join=f3qwyPu
Arcus,https://app.arcus.xyz/ref/AEROGR
N1,https://app.n1.xyz/r/aero
Phoenix,https://phoenix.trade/?code=8883YVIY
FREE,https://lobby.cambria.gg/?code=7d476a98
TXFlow,https://app.txflow.com/r/TXAERO
